Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
03/07/2018 18:30,2.416,4.845,5.607,7.288,112,26.75
03/07/2018 19:00,2.387,3.966,5.313,7.053,116,26.75
03/07/2018 19:30,2.446,4.382,5.543,7.239,116,26.7
03/07/2018 20:00,2.568,4.02,5.72,7.824,115,26.7
03/07/2018 20:30,2.925,4.97,5.894,7.855,104,26.7
03/07/2018 21:00,2.668,4.93,5.796,6.579,115,26.65
03/07/2018 21:30,2.988,5.118,6.32,8.106,122,26.65
03/07/2018 22:00,2.648,4.539,5.927,6.938,113,26.65
03/07/2018 22:30,2.746,4.467,6.064,7.755,109,26.65
03/07/2018 23:00,2.632,4.304,6.069,7.81,115,26.6
03/07/2018 23:30,2.711,5.92,5.772,6.367,102,26.6
03/08/2018 00:00,2.919,5.26,6.268,8.453,115,26.6
03/08/2018 00:30,2.481,4.18,5.843,8.75,109,26.6
03/08/2018 01:00,2.638,4.19,6.096,8.888,106,26.55
03/08/2018 01:30,2.875,4.604,6.046,9.299,113,26.55
03/08/2018 02:00,2.786,4.7,6.317,8.585,108,26.5
03/08/2018 02:30,2.749,4.17,5.884,9.328,112,26.55
03/08/2018 03:00,2.636,3.778,6.21,9.057,113,26.5
03/08/2018 03:30,2.477,4.41,5.82,9.335,113,26.45
03/08/2018 04:00,2.514,4.383,5.808,9.096,120,26.45
03/08/2018 04:30,2.419,3.74,5.963,9.842,119,26.45
03/08/2018 05:00,2.434,5.199,5.796,8.936,109,26.4
03/08/2018 05:30,2.446,4.644,5.794,9.729,111,26.4
03/08/2018 06:00,2.47,3.991,6.026,9.681,122,26.4
03/08/2018 06:30,2.53,3.87,5.841,8.984,108,26.4
03/08/2018 07:00,2.567,4.12,6.113,9.883,112,26.35
03/08/2018 07:30,2.308,3.871,5.786,9.745,122,26.35
03/08/2018 08:00,2.294,3.927,5.649,8.524,113,26.35
03/08/2018 08:30,2.241,3.558,5.74,8.201,120,26.35
03/08/2018 09:00,2.264,4.267,5.589,8.507,101,26.35
03/08/2018 09:30,2.202,3.61,5.753,9.746,104,26.35
03/08/2018 10:00,2.093,3.462,5.701,9.387,118,26.4
03/08/2018 10:30,2.197,3.567,5.862,9.824,113,26.4
03/08/2018 11:00,2.03,3.241,5.712,9.811,113,26.4
03/08/2018 11:30,2.212,3.784,5.744,9.763,111,26.4
03/08/2018 12:00,2.248,4.43,5.966,9.233,113,26.4
03/08/2018 12:30,2.233,3.78,5.781,9.773,111,26.45
03/08/2018 13:00,2.187,3.73,5.847,9.763,113,26.45
03/08/2018 13:30,2.162,3.8,5.883,9.65,112,26.5
03/08/2018 14:00,2.153,3.55,5.794,9.287,112,26.45
03/08/2018 14:30,2.029,3.888,5.684,9.304,106,26.5
03/08/2018 15:00,2.124,3.37,5.695,9.32,111,26.5
03/08/2018 15:30,2.102,3.39,5.813,8.517,118,26.5
03/08/2018 16:00,2.087,3.43,5.747,9.695,98,26.45
03/08/2018 16:30,2.078,3.927,5.492,7.557,116,26.45
03/08/2018 17:00,2.238,3.356,5.792,9.463,105,26.45
03/08/2018 17:30,2.276,4.437,5.39,7.244,109,26.45
03/08/2018 18:00,2.364,4.406,5.619,8.835,112,26.45
03/08/2018 18:30,2.273,4.915,5.476,7.024,109,26.45
03/08/2018 19:00,2.227,4.166,5.471,9.186,99,26.45
03/08/2018 19:30,2.448,3.9,5.729,8.688,97,26.45
03/08/2018 20:00,2.394,4.06,5.635,6.797,108,26.4
03/08/2018 20:30,2.355,3.828,5.979,9.334,98,26.45
03/08/2018 21:00,2.436,4.62,5.759,8.96,111,26.4
03/08/2018 21:30,2.369,3.803,5.618,7.284,101,26.35
03/08/2018 22:00,2.254,3.72,5.625,5.84,109,26.35
03/08/2018 22:30,2.168,3.23,5.712,9.347,105,26.35
03/08/2018 23:00,2.282,3.86,5.628,9.232,109,26.35
03/08/2018 23:30,2.146,4.158,5.639,9.577,101,26.3
03/09/2018 00:00,2.03,3.91,5.677,8.546,102,26.3
03/09/2018 00:30,2.209,3.947,5.503,9.273,108,26.25
03/09/2018 01:00,2.141,3.552,5.741,9.002,102,26.25
03/09/2018 01:30,2.114,3.697,5.404,7.268,108,26.25
03/09/2018 02:00,2.317,3.92,5.706,8.541,108,26.25
03/09/2018 02:30,2.09,3.917,5.633,8.832,108,26.2
03/09/2018 03:00,2.119,3.064,5.645,8.613,108,26.2
03/09/2018 03:30,2.118,3.859,5.62,8.784,108,26.2
03/09/2018 04:00,2.015,4.137,5.47,8.87,106,26.2
03/09/2018 04:30,2.066,3.32,5.627,8.454,108,26.2
03/09/2018 05:00,2.095,3.58,5.8,8.848,99,26.2
03/09/2018 05:30,2.108,3.18,5.825,9.269,98,26.2
03/09/2018 06:00,2.189,3.975,5.864,8.58,101,26.15
03/09/2018 06:30,2.207,3.484,5.61,8.188,108,26.15
03/09/2018 07:00,2,3.301,5.352,9.146,99,26.15
03/09/2018 07:30,2.076,3.331,5.438,9.029,99,26.15
03/09/2018 08:00,2.205,3.86,5.688,8.805,118,26.15
03/09/2018 08:30,2.281,3.51,5.662,9.377,94,26.15
03/09/2018 09:00,2.19,3.529,5.785,8.164,94,26.1
03/09/2018 09:30,2.323,3.665,5.806,8.96,98,26.15
03/09/2018 10:00,2.295,3.821,5.857,7.895,106,26.15
03/09/2018 10:30,2.21,3.52,5.579,8.906,108,26.1
03/09/2018 11:00,2.223,3.78,5.67,8.542,101,26.1
03/09/2018 11:30,2.226,3.6,5.544,9.216,105,26.1
03/09/2018 12:00,2.134,3.606,5.473,8.607,108,26.1
03/09/2018 12:30,2.154,3.285,5.577,7.936,98,26.15
03/09/2018 13:00,2.241,4.053,5.483,8.762,101,26.15
03/09/2018 13:30,2.378,4.358,5.743,8.511,99,26.15
03/09/2018 14:00,2.214,4.01,5.681,9.256,97,26.15
03/09/2018 14:30,2.334,4.45,5.926,8.757,109,26.25
03/09/2018 15:00,2.213,3.35,5.837,9.718,108,26.25
03/09/2018 15:30,2.318,3.76,5.547,8.599,95,26.25
03/09/2018 16:00,2.247,3.439,5.867,8.926,108,26.25
03/09/2018 16:30,2.344,3.974,5.693,8.876,94,26.25
03/09/2018 17:00,2.411,5.06,5.889,9.851,109,26.25
03/09/2018 17:30,2.255,3.84,5.724,9.428,111,26.25
03/09/2018 18:00,2.411,3.52,5.906,9.205,101,26.25
03/09/2018 18:30,2.239,3.872,5.762,9.213,105,26.25
03/09/2018 19:00,2.296,4.29,5.743,7.876,105,26.25
03/09/2018 19:30,2.233,4.168,5.611,8.239,105,26.2
03/09/2018 20:00,2.47,5.22,5.553,9.031,104,26.2
03/09/2018 20:30,2.487,3.772,5.971,9.039,97,26.2
03/09/2018 21:00,2.465,3.59,5.893,8.278,106,26.15
03/09/2018 21:30,2.585,4.842,5.799,9.182,102,26.2
03/09/2018 22:00,2.473,3.646,5.839,8.504,112,26.2
03/09/2018 22:30,2.365,4.374,5.829,7.646,115,26.15
03/09/2018 23:00,2.463,4.451,5.889,8.477,106,26.2
03/09/2018 23:30,2.483,4.626,5.724,8.898,108,26.2
03/10/2018 00:00,2.418,4.22,5.83,8.231,106,26.2
03/10/2018 00:30,2.51,3.773,5.935,9.776,113,26.2
03/10/2018 01:00,2.612,4.277,6.046,9.207,111,26.2
03/10/2018 01:30,2.452,4.644,5.96,9.239,113,26.15
03/10/2018 02:00,2.485,3.84,5.874,8.518,109,26.2
03/10/2018 02:30,2.426,4.058,6.052,8.494,113,26.2
03/10/2018 03:00,2.564,4.305,5.942,8.201,111,26.2
03/10/2018 03:30,2.373,4.21,5.793,7.91,113,26.25
03/10/2018 04:00,2.638,4.69,6.04,8.144,116,26.25
03/10/2018 04:30,2.491,3.838,5.944,9.268,111,26.25
03/10/2018 05:00,2.516,4.369,5.804,9.314,115,26.2
03/10/2018 05:30,2.564,3.86,6.069,8.512,118,26.2
03/10/2018 06:00,2.493,4.34,5.95,7.942,111,26.2
03/10/2018 06:30,2.371,3.85,5.849,8.566,108,26.15
03/10/2018 07:00,2.123,4.08,5.848,9.627,102,26.1
03/10/2018 07:30,2.239,3.56,5.73,8.824,105,26.05
03/10/2018 08:00,2.229,4.02,5.878,8.545,102,26.05
03/10/2018 08:30,2.435,3.83,6.03,8.451,97,26.05
03/10/2018 09:00,2.348,3.39,5.776,8.908,98,26
03/10/2018 09:30,2.333,4.29,5.946,8.588,98,26
03/10/2018 10:00,2.345,3.81,5.697,8.468,111,25.95
03/10/2018 10:30,2.353,4.627,5.639,8.498,104,25.95
03/10/2018 11:00,2.346,4.03,5.693,8.889,106,26
03/10/2018 11:30,2.342,3.68,5.83,8.158,104,25.95
03/10/2018 12:00,2.28,3.74,5.975,8.444,109,26
03/10/2018 12:30,2.097,3.27,5.869,8.141,104,26
03/10/2018 13:00,2.109,3.023,5.676,8.162,99,26
03/10/2018 13:30,2.027,3.93,5.603,8.799,105,26.05
03/10/2018 14:00,2.159,3.27,6.036,8.831,109,26.05
03/10/2018 14:30,2.067,3.67,5.632,7.9,106,26
03/10/2018 15:00,1.922,3.1,5.627,8.109,108,26.05
03/10/2018 15:30,1.937,3.09,5.589,8.551,108,26.05
03/10/2018 16:00,1.954,3.18,5.974,9.671,111,26.05
03/10/2018 16:30,1.912,3.66,5.637,8.507,101,26.05
03/10/2018 17:00,1.922,3.12,5.271,8.185,106,26.05
03/10/2018 17:30,1.874,3.078,5.565,8.838,101,26.05
03/10/2018 18:00,1.831,3.22,5.542,8.858,109,26.05
03/10/2018 18:30,2,3.566,5.476,9.259,108,26.05
03/10/2018 19:00,2.09,3.2,5.679,9.256,108,26.05
03/10/2018 19:30,2.208,3.4,5.812,8.565,104,26.05
03/10/2018 20:00,2.291,4.131,5.738,8.189,102,26.05
03/10/2018 20:30,2.259,3.62,5.734,8.196,99,26
03/10/2018 21:00,2.072,3.94,5.549,6.56,102,26
03/10/2018 21:30,2.223,3.99,5.537,8.805,104,26
03/10/2018 22:00,2.134,3.697,5.68,7.974,112,26
03/10/2018 22:30,2.157,3.64,5.981,9.258,104,26
03/10/2018 23:00,2.284,4.35,5.641,6.57,105,26
03/10/2018 23:30,2.332,3.71,5.866,8.866,105,26
03/11/2018 00:00,2.251,3.64,5.843,7.849,104,26.05
03/11/2018 00:30,1.998,3.32,5.672,8.076,112,26.05
03/11/2018 01:00,2.042,3.615,5.878,9.063,111,26.05
03/11/2018 01:30,2.138,3.546,5.9,9.352,104,26.05
03/11/2018 02:00,1.972,4.03,5.645,8.649,104,26.05
03/11/2018 02:30,2.156,3.77,5.899,8.94,106,26.05
03/11/2018 03:00,1.985,3.47,5.716,8.981,99,26.1
03/11/2018 03:30,2.021,2.95,5.504,9.248,91,26.1
03/11/2018 04:00,2.162,3.2,5.911,8.641,104,26.15
03/11/2018 04:30,2.095,2.728,5.819,8.971,105,26.1
03/11/2018 05:00,2.059,3.39,5.633,8.255,104,26.15
03/11/2018 05:30,2.05,3.399,5.732,8.493,97,26.1
03/11/2018 06:00,2.083,3.69,5.588,8.184,106,26.1
03/11/2018 06:30,2.059,3.28,5.722,7.954,105,26.1
03/11/2018 07:00,1.968,3.43,5.735,9.738,101,26.1
03/11/2018 07:30,1.899,3.58,5.603,7.586,111,26.05
03/11/2018 08:00,1.785,3.33,5.336,8.523,111,26.05
